시도코드,시도,구시군코드,구시군,읍면동명,투표구번호,ps_name_key,ps_name_key_alt,placeName,addr,확정선거인수,확정_50pct_기준장수,확정_60pct_기준장수,확정_70pct_기준장수,확정_선거인수_전국분위,확정_선거인수_구시군분위,확정_선거인수_동분위,동_실제투표수,추정_투표소비율,추정_선거일투표수,추정_50pct초과여부,추정_배부기준대비초과량,추정값_주의,라벨_부족확인,라벨_투표중단,라벨_부족구시군
1100,서울특별시,1105,광진구,구의제3동,제6투,구의제3동제6투,,"광진문화원 (지하1층, 공연장)",서울특별시 광진구 광나루로56길 67 (구의동),3743.0,1871,2245,2620,0.671,0.6667,0.5,10560,0.1545,1632.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1120,동작구,노량진제1동,제7투,노량진제1동제7투,,래미안트윈파크아파트 경로당(1층),"서울특별시 동작구 노량진로23가길 23 (본동, 래미안 트윈파크)",1863.0,931,1117,1304,0.213,0.0161,0.125,13069,0.0606,792.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1122,서초구,잠원동,제7투,잠원동제7투,,"메이플자이(지하1층, 입주민회의실)","서울특별시 서초구 신반포로 251 (잠원동, 메이플 자이 1단지)",3546.0,1773,2127,2482,0.6135,0.4375,0.5,13870,0.1249,1732.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1122,서초구,반포4동,제3투,반포4동제3투,,"반포미도1차아파트 (1층, 주민회관)","서울특별시 서초구 서초중앙로29길 28 (반포동, 반포미도아파트)",3120.0,1560,1872,2184,0.4908,0.2083,0.6,6786,0.2074,1407.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1123,강남구,청담동,제4투,청담동제4투,,"청담르엘아파트(1층, 르엘카페)","서울특별시 강남구 학동로 607 (청담동, 청담르엘)",4585.0,2292,2751,3209,0.8588,0.7778,1.0,10246,0.2017,2067.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1123,강남구,개포2동,제2투,개포2동제2투,,"디에이치아너힐즈 클럽컬리넌(지하2층, 실내체육관)","서울특별시 강남구 삼성로 11 (개포동, 디에이치아너힐즈)",3115.0,1557,1869,2180,0.4897,0.2727,0.2857,15317,0.0966,1480.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1124,송파구,잠실4동,제5투,잠실4동제5투,,"잠실래미안아이파크 아파트 103동(2층, 공공개방시설 나눔센터)",서울특별시 송파구 올림픽로 393 (신천동),3071.0,1535,1842,2149,0.4782,0.1263,0.2857,12652,0.1213,1535.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,True,True
1100,서울특별시,1124,송파구,문정2동,제2투,문정2동제2투,,"올림픽훼밀리타운 관리사무소(1층, 입주자대표회의실)",서울특별시 송파구 중대로 24 (문정동),4309.0,2154,2585,3016,0.8109,0.7789,0.5,12269,0.1651,2026.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1124,송파구,잠실2동,제6투,잠실2동제6투,,"잠일초등학교(1층, 현관로비B)",서울특별시 송파구 올림픽로 95 (잠실동),3310.0,1655,1986,2317,0.5433,0.1789,0.2857,12813,0.1234,1581.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1124,송파구,잠실7동,제2투,잠실7동제2투,,"우성아파트 경로당(1층, 할아버지방)",서울특별시 송파구 올림픽로4길 42 (잠실동),3856.0,1928,2313,2699,0.7044,0.4632,0.5,4164,0.4756,1980.0,True,52.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1124,송파구,위례동,제5투,위례동제5투,,"위례포레샤인23단지아파트(2313동 1층, 다목적실)","서울특별시 송파구 위례순환로 477 (장지동, 위례포레샤인23단지)",4168.0,2084,2500,2917,0.7809,0.6316,0.5,15419,0.123,1897.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1124,송파구,가락2동,제3투,가락2동제3투,,"쌍용아파트관리사무소(1층, 북카페·경로당)",서울특별시 송파구 동남로 193 (가락동),4159.0,2079,2495,2911,0.7789,0.6211,1.0,10818,0.1712,1852.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1124,송파구,가락2동,제7투,가락2동제7투,,"삼환가락아파트(1층, 경로당)",서울특별시 송파구 오금로 432 (가락동),3292.0,1646,1975,2304,0.5393,0.1579,0.2857,10818,0.1355,1466.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
1100,서울특별시,1124,송파구,문정1동,제4투,문정1동제4투,,"문정래미안아파트 관리동(1층, 주민편의시설)",서울특별시 송파구 문정로 83 (문정동),4483.0,2241,2689,3138,0.8428,0.8526,0.5,7223,0.2549,1841.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,False,True
2800,인천광역시,2804,연수구,동춘1동,제6투,동춘1동제6투,,"인천새봄초등학교(1층, 로비)",인천광역시 연수구 앵고개로104번길 34 (동춘동),4915.0,2457,2949,3440,0.9041,0.8333,1.0,8888,0.2305,2049.0,False,0.0,BIPB02는 선거인명부 확정상황 기준이며 실제 투표용지 배부량과 동일하지 않음. 투표소별 실제 선거일 투표수는 미공개이므로 추정 투표수는 동 단위 투표수를 선거인수 비율로 배분한 값이며 실측값이 아님. 배부 기준 초과 여부는 추정값 기반이며 실제 부족을 확정하지 않음.,True,True,True
